                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.5751,                 5.0159,                  2.186,                0.00237,                0.42526,                0.00402,                 0.0008,                 2.8642,                 4.6047,                 1.8674,             0.00015003,             0.00015003,             0.00015003
                      2,                 2.1425,                 4.6197,                 1.7775,                0.00416,                0.67491,                0.00348,                0.00134,                 2.1919,                 4.2907,                   1.54,             0.00031412,             0.00031412,             0.00031412
                      3,                 1.8877,                 4.3647,                 1.5784,                0.00449,                0.68175,                0.00381,                0.00167,                 1.7159,                 4.1989,                  1.366,             0.00047545,             0.00047545,             0.00047545
                      4,                 1.8317,                 3.5993,                 1.4888,                0.00591,                 0.8614,                 0.0482,                 0.0088,                  1.711,                 4.1819,                 1.3646,             0.00063404,             0.00063404,             0.00063404
                      5,                 1.8181,                 3.0774,                  1.528,                0.00131,                 0.1907,                0.01053,                0.00159,                  1.607,                 4.0225,                  1.407,             0.00078987,             0.00078987,             0.00078987
                      6,                 1.7704,                 2.8732,                 1.5402,                0.00423,                0.69737,                 0.0043,                 0.0019,                  1.678,                 3.9442,                 1.3617,             0.00094296,             0.00094296,             0.00094296
                      7,                 1.5769,                 2.4603,                 1.4128,                0.00552,                0.57333,                0.00478,                0.00194,                 1.8657,                 4.3195,                 1.6422,              0.0010933,              0.0010933,              0.0010933
                      8,                 1.5945,                 2.4485,                 1.4179,                0.00312,                0.48632,                0.00274,                0.00143,                 1.7969,                  3.945,                 1.5942,              0.0012409,              0.0012409,              0.0012409
                      9,                 1.5735,                 2.2478,                 1.4158,                0.00411,                0.61965,                0.00442,                0.00227,                 1.8197,                 4.8363,                 1.5581,              0.0013857,              0.0013857,              0.0013857
                     10,                  1.573,                 2.0497,                 1.3499,                0.01206,                  0.031,                 0.0121,                0.00357,                 1.8633,                 3.7386,                 1.5139,              0.0015278,              0.0015278,              0.0015278
                     11,                 1.5184,                 1.9238,                  1.305,                0.11163,                0.03526,                0.03215,                0.01223,                 1.8164,                 3.5103,                 1.5378,              0.0015295,              0.0015295,              0.0015295
                     12,                 1.4584,                 2.0001,                 1.3324,                0.14289,                0.10702,                0.07983,                0.01369,                  2.201,                 3.6127,                 1.8141,              0.0015157,              0.0015157,              0.0015157
                     13,                 1.4232,                 1.8887,                 1.2737,                 0.0053,                0.86035,                 0.0083,                0.00394,                 1.9235,                 5.4425,                 1.6063,               0.001502,               0.001502,               0.001502
