                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.6054,                 5.2221,                 2.0008,                0.00307,                0.54053,                0.01955,                0.00448,                 2.9581,                 4.4477,                 1.6542,             0.00013336,             0.00013336,             0.00013336
                      2,                 2.1526,                 4.4562,                 1.9046,                0.00368,                0.66211,                 0.0033,                0.00118,                 2.2878,                 4.4725,                 1.6788,             0.00027404,             0.00027404,             0.00027404
                      3,                 1.8236,                 4.0253,                  1.563,                0.00587,                0.80228,                0.11407,                0.01946,                 1.9264,                 4.1631,                 1.3268,             0.00040481,             0.00040481,             0.00040481
                      4,                 1.7157,                 3.3969,                 1.3496,                0.00829,                0.94123,                0.12298,                0.03004,                  1.876,                 4.0142,                  1.262,             0.00052569,             0.00052569,             0.00052569
                      5,                 1.6449,                 2.8472,                 1.3542,                0.00735,                0.85053,                0.02629,                0.01095,                 1.7322,                 3.8544,                  1.277,             0.00063666,             0.00063666,             0.00063666
                      6,                 1.6986,                 2.5439,                 1.4003,                0.00583,                0.51193,                0.00456,                0.00244,                 1.9272,                 4.0311,                  1.552,             0.00073773,             0.00073773,             0.00073773
                      7,                 1.5668,                 2.4756,                 1.3809,                0.00477,                0.43684,                0.00355,                0.00149,                    2.1,                 4.1275,                 1.7572,              0.0008289,              0.0008289,              0.0008289
                      8,                 1.4283,                 2.1917,                 1.2832,                0.00014,                0.02579,                  7e-05,                  1e-05,                   2.04,                 4.0347,                 1.7116,             0.00091017,             0.00091017,             0.00091017
                      9,                 1.4821,                 2.3018,                 1.2902,                0.00179,                0.24772,                0.00164,                0.00044,                 2.1185,                  4.027,                 1.7362,             0.00098153,             0.00098153,             0.00098153
                     10,                 1.6355,                  2.249,                  1.356,                 0.0004,                0.07035,                0.02571,                0.00989,                 2.4484,                 4.2723,                 1.8003,               0.001043,               0.001043,               0.001043
                     11,                 1.4916,                 2.0472,                 1.3303,                0.00533,                0.76561,                0.00582,                 0.0023,                 2.0082,                 3.9501,                 1.7733,              0.0010946,              0.0010946,              0.0010946
                     12,                 1.3496,                 1.8618,                 1.1804,                0.00252,                0.52193,                0.00282,                0.00116,                 2.3806,                 4.8349,                 2.4803,              0.0010619,              0.0010619,              0.0010619
                     13,                 1.3475,                 2.0253,                 1.2479,                0.00321,                0.68912,                0.00417,                 0.0016,                 2.2858,                 4.3305,                 2.2616,              0.0010069,              0.0010069,              0.0010069
                     14,                 1.3476,                 1.8573,                 1.2057,                0.00455,                0.85895,                0.01448,                0.00784,                 2.2002,                 3.5738,                  2.142,             0.00095186,             0.00095186,             0.00095186
                     15,                 1.2807,                 1.7584,                 1.1959,                0.00298,                0.64368,                0.00616,                 0.0025,                 2.3642,                 4.8345,                 2.5027,             0.00089685,             0.00089685,             0.00089685
                     16,                  1.253,                 1.7442,                 1.2053,                0.82776,                0.47974,                0.54885,                0.24086,                 1.8739,                 2.3872,                 1.4968,             0.00084184,             0.00084184,             0.00084184
                     17,                 1.1951,                 1.6095,                 1.1629,                0.80585,                0.40246,                0.43719,                 0.1534,                 2.2538,                 2.5568,                 1.9905,             0.00078682,             0.00078682,             0.00078682
                     18,                 1.1108,                 1.4981,                 1.1264,                0.70111,                0.49175,                0.51246,                0.17968,                 2.1845,                 2.2876,                 1.8269,             0.00073181,             0.00073181,             0.00073181
                     19,                 1.1529,                 1.5404,                 1.1105,                  0.655,                0.60649,                0.64132,                0.25327,                  1.966,                 1.7446,                 1.5462,              0.0006768,              0.0006768,              0.0006768
                     20,                 1.1163,                   1.44,                 1.1054,                0.72803,                0.82316,                0.80276,                0.29615,                 1.9882,                 1.4958,                 1.7059,             0.00062179,             0.00062179,             0.00062179
