                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6686,                 2.2682,                 1.1507,                0.95458,                0.97339,                0.97133,                0.64999,                 1.1662,                0.79204,                0.94723,              0.0033226,              0.0033226,              0.0033226
                      2,                 1.2262,                0.86473,                0.99109,                0.99998,                      1,                  0.995,                0.75719,                0.93845,                0.53934,                0.90717,              0.0065242,              0.0065242,              0.0065242
                      3,                 1.0567,                0.66169,                0.95975,                0.99291,                0.99474,                0.99483,                0.80875,                0.68864,                0.71542,                0.83633,              0.0095937,              0.0095937,              0.0095937
                      4,                0.89947,                0.55816,                0.92961,                0.99981,                      1,                  0.995,                 0.8896,                0.53459,                0.36212,                0.78177,               0.009406,               0.009406,               0.009406
                      5,                0.75103,                0.47487,                0.89513,                0.99943,                0.99947,                  0.995,                0.90927,                0.43356,                0.31559,                0.76805,               0.009208,               0.009208,               0.009208
                      6,                0.67422,                0.42977,                0.87567,                0.99999,                      1,                  0.995,                0.95386,                0.35663,                0.28414,                0.74863,                0.00901,                0.00901,                0.00901
                      7,                0.62036,                0.40272,                 0.8654,                0.99996,                      1,                  0.995,                0.95077,                0.32101,                0.24611,                0.72747,               0.008812,               0.008812,               0.008812
                      8,                0.58183,                0.38269,                0.85732,                0.99962,                0.99965,                  0.995,                0.94541,                0.32826,                0.24435,                0.72545,               0.008614,               0.008614,               0.008614
                      9,                0.55631,                0.36736,                0.85054,                      1,                0.12213,                0.13899,                0.06847,                 2.9094,                 6.2184,                 2.0067,               0.008416,               0.008416,               0.008416
                     10,                0.52577,                0.35141,                0.84676,                0.99999,                      1,                  0.995,                0.97064,                0.24941,                0.20069,                0.72528,               0.008218,               0.008218,               0.008218
                     11,                0.50712,                0.34434,                0.84383,                0.99997,                      1,                  0.995,                0.96876,                0.26632,                0.20324,                0.72918,                0.00802,                0.00802,                0.00802
                     12,                0.48701,                0.33116,                0.84014,                0.99999,                      1,                  0.995,                0.98449,                0.20954,                0.17839,                0.71617,               0.007822,               0.007822,               0.007822
                     13,                0.47467,                0.32236,                0.83703,                0.99769,                0.99842,                0.99496,                0.97586,                0.23287,                 0.1896,                0.71466,               0.007624,               0.007624,               0.007624
