                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.0319,                 1.0734,                 1.0242,                0.96527,                 0.8765,                0.96611,                0.53311,                 1.3589,                0.89316,                 1.0631,             0.00066575,             0.00066575,             0.00066575
                      2,                0.65405,                0.39588,                0.86014,                0.98153,                0.98593,                0.99435,                0.82075,                0.80506,                0.45761,                 0.8221,              0.0012005,              0.0012005,              0.0012005
                      3,                0.52946,                0.33306,                0.82364,                 0.5499,                0.84545,                0.64599,                0.53399,                 1.2059,                 1.0708,                 1.6231,              0.0016033,              0.0016033,              0.0016033
                      4,                 0.4542,                0.29381,                0.80874,                 0.9566,                0.77699,                 0.8774,                0.73111,                0.69505,                0.76482,                0.84276,               0.001406,               0.001406,               0.001406
                      5,                0.37103,                0.25073,                0.79134,                0.99982,                      1,                  0.995,                0.94225,                0.35921,                0.22426,                0.72526,               0.001208,               0.001208,               0.001208
                      6,                0.30896,                0.21728,                0.78113,                0.99988,                      1,                  0.995,                0.96704,                0.26859,                0.16846,                0.71352,                0.00101,                0.00101,                0.00101
                      7,                0.26232,                 0.1916,                0.77464,                0.99989,                      1,                  0.995,                0.97862,                0.20584,                0.17015,                0.70599,               0.000812,               0.000812,               0.000812
                      8,                0.22912,                0.17209,                0.77036,                 0.9999,                      1,                  0.995,                0.98468,                 0.1901,                0.13659,                0.70542,               0.000614,               0.000614,               0.000614
                      9,                0.19745,                 0.1523,                0.76928,                0.99988,                      1,                  0.995,                0.98634,                0.16223,                0.11561,                0.70288,               0.000416,               0.000416,               0.000416
                     10,                0.16707,                0.13232,                 0.7639,                0.99989,                      1,                  0.995,                0.99091,                0.13299,                0.10489,                 0.7004,               0.000218,               0.000218,               0.000218
